post_id,post_parent,post_name,post_author,post_date,post_type,post_status,post_title,post_content,post_category,post_tags
100,,front-page,,,page,publish,フロントページ,,info,
101,,about,,,page,publish,研究室紹介,2001 年 4 月よりスタートした研究室です。,info,
102,,album,,,page,publish,アルバム,,album,
103,102,year-2007,,,page,publish,2007 年度,,album,
104,102,year-2008,,,page,publish,2008 年度,,album,
105,102,year-2009,,,page,publish,2009 年度,,album,
106,102,year-2010,,,page,publish,2010 年度,,album,
107,102,year-2011,,,page,publish,2011 年度,,album,
108,102,year-2012,,,page,publish,2012 年度,,album,
109,102,year-2013,,,page,publish,2013 年度,,album,
110,102,year-2014,,,page,publish,2014 年度,,album,
111,102,year-2015,,,page,publish,2015 年度,,album,
112,102,year-2016,,,page,publish,2016 年度,,album,
113,102,year-2017,,,page,publish,2017 年度,,album,
114,102,history,,,page,publish,歴代研究室,,album,
115,102,lab,,,page,publish,実験室風景,,album,
116,,lecture,,,page,publish,講義資料,,info,
117,,members,,,page,publish,メンバー,,members,
118,117,A-M-Akimoto,,,page,publish,秋元 文　博士,,members,
119,117,R-Yoshida,,,page,publish,吉田 亮　博士,,members,
120,,publications,,,page,publish,業績・著書,,publications,
121,120,awards,,,page,publish,受賞,,publications,
122,120,books,,,page,publish,著書,,publications,
123,120,newspaper-reports,,,page,publish,新聞報道など,,publications,
124,120,original-papers,,,page,publish,原著論文,,publications,
125,120,reviews,,,page,publish,総説,,publications,
126,,research,,,page,publish,研究テーマ,,research,
127,126,ATP-driven-gel,,,page,publish,ATP 存在下で自己拍動するバイオミメティックゲルの設計,,research,
128,126,concept,,,page,publish,研究概要,,research,
129,126,DDS-chip,,,page,publish,医療・診断用チップへの応用,,research,
130,126,dynamic-cell-scaffold,,,page,publish,細胞機能発現を制御する再生医療用ゲル足場材料の創成,,research,
131,126,fast-responsive-gel,,,page,publish,高速収縮する刺激応答性ゲルの設計,,research,
132,126,nano-transport-system,,,page,publish,自励振動高分子／ゲル微粒子を用いた機能性表面（ナノコンベア）の構築,,research,
133,126,photosynthesis-gel,,,page,publish,電子伝達回路を有する人工光合成ゲルの設計,,research,
134,126,self-oscillating-gel,,,page,publish,心筋細胞を模倣した自励振動ゲルの設計と応用,,research,
135,126,self-propagating-gel,,,page,publish,自己増殖・自己複製するバイオミメティックゲル,,research,
136,126,self-walking-gel,,,page,publish,ゲルの微細加工によるバイオナノ・マイクロマシンの作製,,research,
137,126,thermosensitive-Au-particle,,,page,publish,感温性金ナノ粒子の設計とバイオセンサーへの応用,,research,
138,,contact,,,page,publish,お問い合わせ,,info,
139,,recruitment,,,page,publish,学生・研究員の方へ,,info,